,root,rec_system,brain_area,implant_name,intermediate,rec_name
0,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_07_03_2022,Recordings,Rec_11_03_2022_g0
1,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_07_03_2022,Recordings,Rec_11_03_2022_sleep_g0
2,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_07_03_2022,Recordings,Rec_13_03_2022_g0
3,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_07_03_2022,Recordings,Rec_11_03_2022_sleep_g0_from_6000_to_8500s
4,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_07_03_2022,Recordings,Rec_11_03_2022_g0_from_1300_to_2000s
5,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_07_03_2022,Recordings,Rec_13_03_2022_g0_from_47000_to_48500s
6,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_07_03_2022,Recordings,Rec_13_03_2022_g0_from_40000_to_40500s
7,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_07_03_2022,Recordings,Rec_13_03_2022_g0_from_37500_to_41100s
8,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_07_03_2022,Recordings,Rec_11_03_2022_g0_from_0_to_10000s
9,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_07_03_2022,Recordings,Rec_09_03_2022_g0
10,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_10_11_2021,Recordings,Rec_2_19_11_2021_g0
11,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_10_11_2021,Recordings,Rec_3_19_11_2021_g0
12,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_10_11_2021,Recordings,Rec_6_22_11_2021_g0
13,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_10_11_2021,Recordings,Rec_5_19_11_2021_g0
14,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_14_09_2022,Recordings,Rec_14_09_2022_g0
15,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_16_08_2022,Recordings,Rec_18_08_2022_g0
16,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_16_08_2022,Recordings,Rec_19_08_2022_g0
17,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_27_09_2022,Recordings,Rec_28_09_2022_sleep_morning_g0
18,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_27_09_2022,Recordings,Rec_29_09_2022_g0
19,nas,Neuropixel_Recordings,AreaX-LMAN,Imp_27_09_2022,Recordings,Rec_27_09_2022_sleep_g0
